,step,train_error,validation_error
546,27300,0.0078125,0.0703125
547,27350,0.015625,0.1328125
548,27400,0.0,0.109375
549,27450,0.0,0.125
550,27500,0.0078125,0.0859375
551,27550,0.015625,0.09375
552,27600,0.015625,0.046875
553,27650,0.0,0.09375
554,27700,0.0078125,0.109375
555,27750,0.0,0.109375
556,27800,0.0,0.0859375
557,27850,0.015625,0.09375
558,27900,0.0,0.0859375
559,27950,0.0234375,0.0859375
560,28000,0.0,0.125
561,28050,0.015625,0.0859375
562,28100,0.0078125,0.1484375
563,28150,0.0,0.125
564,28200,0.0078125,0.109375
565,28250,0.0,0.09375
566,28300,0.0078125,0.0859375
567,28350,0.0078125,0.1484375
568,28400,0.0,0.109375
569,28450,0.0078125,0.1015625
570,28500,0.0,0.0625
571,28550,0.0,0.0703125
572,28600,0.015625,0.109375
573,28650,0.0078125,0.09375
574,28700,0.0078125,0.1171875
575,28750,0.0,0.1171875
576,28800,0.0,0.1171875
577,28850,0.0078125,0.0859375
578,28900,0.0078125,0.0703125
579,28950,0.0078125,0.0859375
580,29000,0.0078125,0.09375
581,29050,0.0078125,0.09375
582,29100,0.0,0.078125
583,29150,0.015625,0.1171875
584,29200,0.0,0.140625
585,29250,0.0078125,0.125
586,29300,0.015625,0.109375
587,29350,0.03125,0.109375
588,29400,0.0078125,0.140625
589,29450,0.015625,0.125
590,29500,0.0,0.0859375
591,29550,0.0,0.09375
592,29600,0.0,0.0390625
593,29650,0.0,0.1484375
594,29700,0.0,0.1171875
595,29750,0.0078125,0.1328125
596,29800,0.0078125,0.1171875
597,29850,0.015625,0.15625
598,29900,0.0,0.1015625
599,29950,0.0078125,0.1171875
